# Experiment Metadata
# experiment: baseline_comparison
# algorithms: ['Pure_LPA', 'Pure_Leiden', 'Optimal_Hybrid', 'Louvain']
# repeat_count: 5
# datasets: ['karate', 'cora', 'citeseer', 'pubmed', 'dolphin', 'football', 'polblog', 'mexican']
# timestamp: 2025-08-06T12:20:07.937440
# optimal_hybrid_config: {'core_ratio': 0.5, 'centrality_method': 'pagerank', 'anchor_strategy': 'dynamic_iterative'}
# 
dataset,algorithm,run_id,runtime,nodes,edges,num_communities,modularity,conductance,coverage,nmi,ami,ari,accuracy,f1_score
karate,Louvain,2,0.002451181411743164,34,78,4,0.4155982905982905,0.4367224880382775,0.7564102564102564,0.4976791908843508,0.470417365456061,0.4292907180385289,0.6764705882352942,0.3896551724137931
karate,Louvain,3,0.0011353492736816406,34,78,4,0.41559829059829057,0.4367224880382775,0.7564102564102564,0.49767919088435086,0.47041736545606105,0.4292907180385289,0.6764705882352942,0.3896551724137931
karate,Louvain,4,0.0010533332824707031,34,78,4,0.41880341880341876,0.4421052631578948,0.7307692307692307,0.4899672048193782,0.4637523808301654,0.39223854417890813,0.6176470588235294,0.5665990534144693
cora,Pure_LPA,0,0.016848087310791016,2485,5069,160,0.720293000584827,0.4409146282433472,0.7624778062734268,0.42282178564214373,0.3802206347869675,0.17871109941712515,0.2631790744466801,0.01578305074958468
cora,Pure_LPA,1,0.015247583389282227,2485,5069,155,0.7206823601122427,0.4383486117861935,0.7650424146774512,0.4134593488047485,0.37105717256737275,0.172144025677879,0.26680080482897384,0.01644517343587896
cora,Pure_LPA,2,0.023703336715698242,2485,5069,160,0.7202128091403532,0.44450123490697874,0.7662260800946933,0.41974265570354174,0.37651235911176717,0.17086747034146219,0.27364185110663986,0.01680329908157077
cora,Pure_LPA,3,0.013910770416259766,2485,5069,148,0.724899873557882,0.42412098962964484,0.7697770763464195,0.4212235188651227,0.38119563049960253,0.18527893629127712,0.2603621730382294,0.016432133866984514
cora,Pure_LPA,4,0.013977527618408203,2485,5069,159,0.7184626858370075,0.4289368877865111,0.7634641941211284,0.416458447863317,0.37336897970744726,0.17162203611338173,0.2599597585513079,0.01556473779103465
cora,Pure_Leiden,0,0.047013282775878906,2485,5069,31,0.8110152299139893,0.2076799023909677,0.8761096863286645,0.45949590146283104,0.450857320115558,0.2810750181330962,0.41488933601609657,0.1312253736880677
cora,Pure_Leiden,1,0.046787261962890625,2485,5069,27,0.8111550444076908,0.20278247816678924,0.8753205760505031,0.47804093585437823,0.47069750020936557,0.2733654711335038,0.41770623742454727,0.1514081776412142
