# Final Experiment Results
# experiment: core_ratio_optimization
# centrality_method: pagerank
# core_ratios: [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]
# repeat_count: 1
# datasets: ['karate', 'cora', 'citeseer', 'pubmed', 'com-amazon']
# dataset_overlapping: {'karate': False, 'cora': False, 'citeseer': False, 'pubmed': False, 'com-dblp': True, 'com-youtube': True, 'com-amazon': True}
# checkpoint_interval: 1
# timestamp: 2025-08-06T19:49:39.850622
# total_results: 45
# completed_tasks: 45
# export_time: 2025-08-06T19:49:39.856348
# 
dataset,core_ratio,run_id,runtime,nodes,edges,is_overlapping,num_communities,modularity,conductance,coverage,nmi,ami,ari,accuracy,f1_score,overlapping_nmi,core_nodes_count,periphery_nodes_count,leiden_time,lpa_time,centrality_time
pubmed,0.8,0,0.6655621528625488,19717,44327,False,47,0.7809556983534667,0.21153670884340844,0.8711394860919981,0.21286540848493912,0.21194507886656475,0.1148859533775102,0.2357356595831009,0.02681885858361236,,15773,3944,0.5927245616912842,0.003599882125854492,0.056694984436035156
pubmed,0.9,0,0.8216454982757568,19717,44327,False,45,0.780496145274414,0.2183558464161342,0.8686579285762628,0.20552801966773476,0.20463429074698436,0.1119959053845383,0.25744281584419537,0.025404132704501384,,17745,1972,0.6792721748352051,0.002433300018310547,0.1228630542755127
com-amazon,0.1,0,23.6771719455719,334863,925872,False,10960,0.5665981904910937,0.506940439702448,0.5712150275632053,0.7123160108192568,0.0014529584965324671,8.422485043249804e-06,,,,33486,301377,2.848877191543579,18.585039377212524,1.694028377532959
com-amazon,0.2,0,22.37585186958313,334863,925872,False,8548,0.45771084637737275,0.6253968145075697,0.4650038018214181,0.6536388623789128,0.0009000430999369614,3.7422798806022006e-06,,,,66972,267891,11.085866451263428,9.286808490753174,1.5099830627441406
com-amazon,0.3,0,32.43888449668884,334863,925872,False,5021,0.43244173401073077,0.7205040718438119,0.44169064406311026,0.607987252284437,0.0007437011717735147,2.6584887436673162e-06,0.015624300086901211,0.005864163515891876,,100458,234405,23.885114908218384,6.5971739292144775,1.45583176612854
com-amazon,0.4,0,39.78230047225952,334863,925872,False,2840,0.424374015885893,0.7732393271307368,0.43587774551989905,0.5802615557613672,0.0006677961565187467,2.024956627445538e-06,0.009018613582270959,0.0028467851118159143,,133945,200918,32.979591369628906,4.246490955352783,1.865837574005127
com-amazon,0.5,0,46.06049847602844,334863,925872,False,1692,0.3836012395385066,0.8164291732336237,0.3959110978623395,0.5666728224803744,0.0005876346308971317,1.7137539395769953e-06,0.005506729617783989,0.0012711670950932763,,167431,167432,41.63350534439087,2.1991188526153564,1.6331226825714111
com-amazon,0.6,0,52.91850161552429,334863,925872,False,1091,0.6322457160891561,0.5087534441889886,0.6443385262757703,0.5601455866440029,0.0013405086749108655,4.078563445944656e-06,0.0039389242764951635,0.0006361873029675585,,200917,133946,49.84691047668457,0.8529157638549805,1.673163652420044
com-amazon,0.7,0,64.97699403762817,334863,925872,False,761,0.9118608194322494,0.09627058430212979,0.9246720929026907,0.5534429738338761,0.0022202161571694117,6.481508420316744e-06,0.003081857356590606,0.00032594819116930934,,234404,100459,61.93202328681946,0.4396243095397949,2.0875275135040283
com-amazon,0.8,0,78.38183832168579,334863,925872,False,565,0.9297560898859235,0.057486684476356686,0.9430104809304094,0.5486725871509588,0.002257679216240864,6.406206267960277e-06,0.0024517489241869064,0.00017518075017529665,,267890,66973,75.73628759384155,0.21012067794799805,1.8990709781646729
com-amazon,0.9,0,93.48442840576172,334863,925872,False,421,0.9312381645567139,0.052179796020744636,0.9446089740266473,0.5445310592472552,0.002240165973176463,6.327407096363986e-06,0.0020187360204023735,8.991068427403023e-05,,301376,33487,91.23236465454102,0.06621336936950684,1.582190990447998
