# Experiment Metadata
# experiment: 3way_anchor_strategy_comparison
# core_ratios: [0.4, 0.5, 0.6]
# anchor_strategies: ['Fixed_Single', 'Fixed_Iterative', 'Dynamic_Iterative']
# centrality_method: pagerank
# repeat_count: 5
# datasets: ['karate', 'cora', 'citeseer', 'pubmed', 'dolphin', 'football', 'polblog', 'mexican']
# timestamp: 2025-08-04T22:38:04.567502
# 
dataset,core_ratio,anchor_strategy,run_id,runtime,nodes,edges,num_communities,modularity,conductance,coverage,nmi,ami,ari,accuracy,core_nodes_count,periphery_nodes_count,leiden_time,lpa_time,lpa_iterations,centrality_time
cora,0.5,Fixed_Iterative,1,0.04818892478942871,2485,5069,58,0.28082720831690194,0.7245159858475629,0.3489840205168672,0.09458520513813569,0.06985486989775505,0.03318750848922572,0.20080482897384305,1242,1243,0.037593841552734375,0.0016376972198486328,3,0.007947683334350586
cora,0.5,Fixed_Iterative,2,0.03946685791015625,2485,5069,54,0.28030498123722597,0.7125335132407681,0.35135135135135137,0.09125608270763001,0.0680751516190337,0.03078248744075298,0.19557344064386317,1242,1243,0.031418561935424805,0.0015053749084472656,3,0.005561351776123047
cora,0.5,Fixed_Iterative,3,0.03618288040161133,2485,5069,57,0.28165584027031837,0.7174134053746122,0.34661668968238313,0.0931771863548452,0.0691677593817894,0.03338042461354862,0.19476861167002013,1242,1243,0.028378009796142578,0.0015263557434082031,3,0.005289793014526367
cora,0.5,Fixed_Iterative,4,0.03763318061828613,2485,5069,57,0.2807292506048222,0.7227969522272795,0.3539159597553758,0.09436824078369443,0.06959773533092951,0.0381192638657401,0.21851106639839035,1242,1243,0.029438495635986328,0.0014958381652832031,3,0.0056836605072021484
cora,0.5,Dynamic_Iterative,0,0.04770684242248535,2485,5069,32,0.7304491954605066,0.3295352628955648,0.828763069638982,0.3376098419517234,0.32594393418149714,0.209607903062261,0.4048289738430583,1242,1243,0.030246734619140625,0.011022329330444336,8,0.0053250789642333984
cora,0.5,Dynamic_Iterative,1,0.046358585357666016,2485,5069,34,0.7323364478852322,0.3244865049835748,0.8331031761688696,0.3291783975021595,0.3165100868995903,0.20371023061742943,0.39758551307847084,1242,1243,0.028355836868286133,0.011462211608886719,8,0.005499839782714844
cora,0.5,Dynamic_Iterative,2,0.05102086067199707,2485,5069,31,0.7275240855519147,0.3345289033162189,0.8346813967251924,0.3372246488584273,0.32562812544996816,0.1994051670358738,0.3851106639839034,1242,1243,0.03220343589782715,0.011867046356201172,8,0.005850315093994141
cora,0.5,Dynamic_Iterative,3,0.051305294036865234,2485,5069,34,0.7317530410187508,0.3340031697279726,0.8273821266521997,0.3245200056032304,0.31198648146142616,0.2004216493785859,0.3891348088531187,1242,1243,0.03018331527709961,0.014004945755004883,8,0.005776166915893555
cora,0.5,Dynamic_Iterative,4,0.051226139068603516,2485,5069,32,0.7328083339634878,0.3242331505653839,0.8370487275596765,0.33056310693131497,0.3184003323877413,0.21887439109899354,0.42092555331991954,1242,1243,0.0308835506439209,0.013266563415527344,8,0.005942583084106445
cora,0.6,Fixed_Single,0,0.04942750930786133,2485,5069,34,0.2975444683062046,0.7730081070073539,0.370684553166305,0.11310159355073597,0.09799788071566667,0.05977017043877977,0.24748490945674045,1491,994,0.04171872138977051,0.0005192756652832031,1,0.006134510040283203
cora,0.6,Fixed_Single,1,0.05326223373413086,2485,5069,35,0.299330785758233,0.7867982695922184,0.3716709410140067,0.11263957667440011,0.09699827295508419,0.05961834794573122,0.2507042253521127,1491,994,0.04510617256164551,0.0007960796356201172,1,0.0059931278228759766
