Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI,Num_Communities,Is_Overlapping
mexican,3,Pure_Leiden,0.0003505,0.3595222,0.2601049,0.542351,0.2100614,4,False
mexican,3,Pure_LPA,0.0003617,0.2064431,0.1791649,0.72,0.2592849,2,False
mexican,4,Leiden-LPA_Hybrid,0.0013888,0.3223391,0.2824919,0.6857143,0.1989981,3,False
mexican,4,Pure_Leiden,0.0003715,0.3536051,0.2220654,0.8011364,0.1986178,3,False
mexican,4,Pure_LPA,0.0002151,0.1551246,0.0831292,0.6260684,0.1336735,2,False
com-dblp,0,Leiden-LPA_Hybrid,15.5598595,0.8187891,,,,1288,True
com-dblp,0,Pure_Leiden,86.3010809,0.8298683,,,,245,True
com-dblp,0,Pure_LPA,8.4209034,0.6931517,,,,19696,True
com-dblp,1,Leiden-LPA_Hybrid,16.3915479,0.8189565,,,,1265,True
com-dblp,1,Pure_Leiden,87.6757839,0.8298683,,,,245,True
com-dblp,1,Pure_LPA,8.9300306,0.6951124,,,,19898,True
com-dblp,2,Leiden-LPA_Hybrid,16.2009552,0.8189883,,,,1243,True
com-dblp,2,Pure_Leiden,89.6982725,0.8298683,,,,245,True
com-dblp,2,Pure_LPA,9.1418383,0.6931517,,,,19696,True
com-dblp,3,Leiden-LPA_Hybrid,16.7510347,0.818787,,,,1264,True
com-dblp,3,Pure_Leiden,88.235394,0.8298683,,,,245,True
com-dblp,3,Pure_LPA,11.7560706,0.6931517,,,,19696,True
com-dblp,4,Leiden-LPA_Hybrid,19.1295292,0.8184395,,,,1271,True
com-dblp,4,Pure_Leiden,88.1721077,0.8304274,,,,230,True
com-dblp,4,Pure_LPA,11.9957199,0.6951124,,,,19898,True
com-amazon,0,Leiden-LPA_Hybrid,23.1810515,0.9060056,,,,5763,True
com-amazon,0,Pure_Leiden,97.4131134,0.9321221,,,,376,True
com-amazon,0,Pure_LPA,8.3809826,0.7628812,,,,24072,True
com-amazon,1,Leiden-LPA_Hybrid,25.1687026,0.9056624,,,,5798,True
com-amazon,1,Pure_Leiden,100.751323,0.9321221,,,,376,True
com-amazon,1,Pure_LPA,8.823113,0.7644428,,,,23924,True
com-amazon,2,Leiden-LPA_Hybrid,25.8117952,0.9059671,,,,5802,True
com-amazon,2,Pure_Leiden,99.6866636,0.9321221,,,,376,True
com-amazon,2,Pure_LPA,8.7827106,0.7628812,,,,24072,True
com-amazon,3,Leiden-LPA_Hybrid,26.8825758,0.9051089,,,,5808,True
com-amazon,3,Pure_Leiden,101.1019621,0.9321221,,,,376,True
com-amazon,3,Pure_LPA,9.8772869,0.7628812,,,,24072,True
com-amazon,4,Leiden-LPA_Hybrid,26.0767217,0.9052777,,,,5769,True
com-amazon,4,Pure_Leiden,100.1637862,0.9322885,,,,369,True
com-amazon,4,Pure_LPA,9.7126567,0.7644428,,,,23924,True
com-youtube,0,Leiden-LPA_Hybrid,210.402302,0.7132265,,,,8619,True
com-youtube,0,Pure_Leiden,2654.2192304,0.7315477,,,,5403,True
com-youtube,0,Pure_LPA,31.7989938,0.5911022,,,,36635,True
com-youtube,1,Leiden-LPA_Hybrid,226.0716765,0.7123942,,,,9024,True
com-youtube,1,Pure_Leiden,3012.0294366,0.7315477,,,,5403,True
com-youtube,1,Pure_LPA,32.6609724,0.5700746,,,,36048,True
com-youtube,2,Leiden-LPA_Hybrid,236.7577522,0.7052972,,,,9695,True
com-youtube,2,Pure_Leiden,3054.7556639,0.7315477,,,,5403,True
com-youtube,2,Pure_LPA,31.2415974,0.5911022,,,,36635,True
com-youtube,3,Leiden-LPA_Hybrid,230.4210429,0.7132954,,,,9099,True
com-youtube,3,Pure_Leiden,2825.967762,0.7315477,,,,5403,True
com-youtube,3,Pure_LPA,34.3444636,0.5911022,,,,36635,True
com-youtube,4,Leiden-LPA_Hybrid,231.7255208,0.7077132,,,,9649,True
com-youtube,4,Pure_Leiden,2816.8406146,0.7316767,,,,5776,True
com-youtube,4,Pure_LPA,34.0554426,0.5700746,,,,36048,True
