Graph,Core_Ratio,Repeat,Time (s),Modularity,NMI,F1_Score,ARI,Num_Communities
cora,0.1,9,0.0327096,0.7144003,0.4095812,0.0242205,0.2256443,132
cora,0.2,0,0.0270357,0.7571514,0.4419757,0.046433,0.2703148,79
cora,0.2,1,0.0261211,0.7565088,0.4342703,0.0487217,0.274375,75
cora,0.2,2,0.0265694,0.759967,0.4423172,0.0495522,0.2693557,78
cora,0.2,3,0.0284922,0.7586587,0.4470043,0.0520601,0.2745482,70
cora,0.2,4,0.0295877,0.7585744,0.44233,0.0468545,0.2662131,76
cora,0.2,5,0.0232573,0.7606358,0.4452151,0.0519992,0.2799945,74
cora,0.2,6,0.0256042,0.7592055,0.4502707,0.0497271,0.2749848,74
cora,0.2,7,0.0265474,0.7611637,0.4427835,0.0530171,0.2912564,76
cora,0.2,8,0.0260162,0.7570255,0.4421341,0.0438267,0.2650542,83
cora,0.2,9,0.0263045,0.7557212,0.4408945,0.0454949,0.2689232,77
cora,0.3,0,0.0254912,0.7806788,0.4475725,0.0726453,0.2750242,53
cora,0.3,1,0.0273907,0.7789964,0.4387056,0.0679323,0.2616068,55
cora,0.3,2,0.0237818,0.7779007,0.4326273,0.069609,0.2692299,53
cora,0.3,3,0.0242918,0.7827585,0.4506205,0.0632872,0.2684636,57
cora,0.3,4,0.0235879,0.7782008,0.4402439,0.0714657,0.2767485,53
cora,0.3,5,0.0582399,0.7791098,0.4438118,0.0707265,0.2687584,53
cora,0.3,6,0.0242338,0.7770473,0.4453385,0.0722703,0.2979817,53
cora,0.3,7,0.0257368,0.7814223,0.4473477,0.0686104,0.267026,55
cora,0.3,8,0.0234907,0.7803584,0.4473926,0.0656017,0.2683603,56
cora,0.3,9,0.0250921,0.7790585,0.4530635,0.0673181,0.3021139,55
cora,0.4,0,0.027462,0.7854916,0.4515885,0.0885549,0.297987,47
cora,0.4,1,0.0260279,0.7884505,0.4511791,0.0781169,0.2933264,48
cora,0.4,2,0.0254078,0.7846656,0.437441,0.0821229,0.3009006,45
cora,0.4,3,0.0255811,0.7884445,0.4420663,0.0774162,0.2882722,48
cora,0.4,4,0.0249913,0.7867812,0.4508493,0.0785319,0.2977657,48
cora,0.4,5,0.0251043,0.7855621,0.4474351,0.083552,0.2940752,47
cora,0.4,6,0.0249958,0.7869025,0.4410354,0.0775926,0.2929141,48
cora,0.4,7,0.0256732,0.7845981,0.4378235,0.07559,0.2635294,51
cora,0.4,8,0.025259,0.7854983,0.4326104,0.0822489,0.2594174,46
cora,0.4,9,0.0251822,0.7877411,0.4369727,0.0847375,0.2942202,47
cora,0.5,0,0.0259111,0.7935661,0.4597056,0.0860941,0.2973295,44
cora,0.5,1,0.0259247,0.7945178,0.4503212,0.0843982,0.2884555,44
cora,0.5,2,0.0282369,0.7964882,0.4641194,0.0985853,0.3060928,42
cora,0.5,3,0.0251434,0.7949186,0.4544341,0.0830498,0.2831921,45
cora,0.5,4,0.0271888,0.7910442,0.4694891,0.0966912,0.3153659,43
cora,0.5,5,0.0249608,0.7942582,0.4566859,0.0844225,0.2793213,44
cora,0.5,6,0.0270398,0.7928211,0.454901,0.0869296,0.2847477,44
cora,0.5,7,0.0253062,0.7943327,0.4609174,0.09347,0.2877207,44
cora,0.5,8,0.0254884,0.7924034,0.4548459,0.0845495,0.2858987,46
cora,0.5,9,0.0268724,0.794131,0.4561015,0.0963113,0.2886859,44
cora,0.6,0,0.0281374,0.8010518,0.472995,0.1230865,0.2990087,31
cora,0.6,1,0.028162,0.8023972,0.4810599,0.1261647,0.318593,32
cora,0.6,2,0.02789,0.8015869,0.4753282,0.1329607,0.3073608,31
cora,0.6,3,0.0274785,0.8013401,0.4799049,0.1315531,0.3048892,30
cora,0.6,4,0.0615091,0.8022414,0.4848129,0.1293446,0.3228659,31
cora,0.6,5,0.0290372,0.8016998,0.4771264,0.1345122,0.3129663,31
cora,0.6,6,0.029047,0.8016022,0.471655,0.135973,0.3188886,32
cora,0.6,7,0.0273063,0.8007739,0.4809327,0.1304796,0.3276719,32
cora,0.6,8,0.0277414,0.8030317,0.4714884,0.1339982,0.307525,30
cora,0.6,9,0.0272517,0.8030577,0.4741889,0.1400561,0.3111091,30
cora,0.7,0,0.0302122,0.805979,0.4726418,0.1494816,0.311823,29
cora,0.7,1,0.0304105,0.8066259,0.4825959,0.1328678,0.3177268,30
cora,0.7,2,0.029567,0.8064214,0.4824405,0.1330154,0.3143917,30
cora,0.7,3,0.0293682,0.8078265,0.4752059,0.1442593,0.3091159,28
cora,0.7,4,0.0297401,0.8047309,0.4707098,0.1292724,0.2915788,31
cora,0.7,5,0.0295694,0.8065852,0.4718372,0.1336484,0.2858479,29
cora,0.7,6,0.0294642,0.8050908,0.4741219,0.1513171,0.3204913,29
cora,0.7,7,0.0292001,0.80644,0.4698806,0.1406599,0.2854163,29
cora,0.7,8,0.0300817,0.8076,0.4739411,0.1400178,0.3023122,30
cora,0.7,9,0.0292997,0.8068673,0.474627,0.1348097,0.3168628,30
cora,0.8,0,0.0319967,0.8093477,0.4704633,0.1317358,0.2887919,30
cora,0.8,1,0.031209,0.8109466,0.4750949,0.1459777,0.2641415,26
cora,0.8,2,0.0307043,0.8112354,0.4842111,0.1450295,0.299975,28
cora,0.8,3,0.0304575,0.810682,0.4765522,0.1614163,0.3132326,26
cora,0.8,4,0.030977,0.8098127,0.4776055,0.14516,0.3006773,28
cora,0.8,5,0.0308137,0.8109679,0.4823763,0.1385638,0.3075951,27
cora,0.8,6,0.0309901,0.8106162,0.4754417,0.1426011,0.2970506,28
cora,0.8,7,0.0306973,0.8100848,0.4627192,0.1632834,0.2969415,27
cora,0.8,8,0.0305595,0.8105182,0.4759708,0.1484168,0.3136253,27
cora,0.8,9,0.0305407,0.8097682,0.4755066,0.1533175,0.3072177,27
cora,0.9,0,0.0354974,0.8130652,0.4616879,0.1450478,0.268067,27
cora,0.9,1,0.0339036,0.8117872,0.4750494,0.1426902,0.2660444,28
cora,0.9,2,0.0332942,0.81218,0.4731017,0.1514307,0.2601334,26
cora,0.9,3,0.0340958,0.811689,0.471694,0.1270038,0.2876157,32
cora,0.9,4,0.0332375,0.8133849,0.475546,0.133305,0.275715,30
cora,0.9,5,0.0331717,0.8113959,0.4677521,0.1321053,0.2892698,31
cora,0.9,6,0.0329101,0.8116447,0.4674853,0.1275749,0.2757059,32
cora,0.9,7,0.0333102,0.8123787,0.4695661,0.124126,0.2931859,31
cora,0.9,8,0.0337276,0.8126135,0.4825848,0.1540548,0.3218911,28
cora,0.9,9,0.0336244,0.8119639,0.4596256,0.1360371,0.2501883,29
cora,1.0,0,0.0170877,0.8129667,0.4795868,0.1345536,0.3016503,29
cora,1.0,1,0.016541,0.8132368,0.4607939,0.1474342,0.2912724,27
cora,1.0,2,0.0161247,0.8113111,0.4720069,0.1399378,0.2650736,30
cora,1.0,3,0.016196,0.8124121,0.4726905,0.1267435,0.2971835,32
cora,1.0,4,0.0160532,0.8106489,0.4863572,0.1235723,0.3097074,33
cora,1.0,5,0.0161059,0.81161,0.4695647,0.1281779,0.2677578,30
cora,1.0,6,0.0160575,0.810396,0.4681002,0.128246,0.2798993,31
cora,1.0,7,0.0163083,0.8107999,0.4584625,0.1190168,0.2851775,33
cora,1.0,8,0.0160065,0.8124052,0.4777119,0.13049,0.3072014,31
cora,1.0,9,0.0165756,0.8122174,0.4828567,0.1284387,0.2988133,31
citeseer,0.0,0,0.0202036,0.7409686,0.3449987,0.0108107,0.1816655,171
citeseer,0.0,1,0.0196705,0.7409686,0.3449987,0.0108107,0.1816655,171
citeseer,0.0,2,0.0192332,0.7409686,0.3449987,0.0108107,0.1816655,171
citeseer,0.0,3,0.0191453,0.7409686,0.3449987,0.0108107,0.1816655,171
citeseer,0.0,4,0.0192935,0.7409686,0.3449987,0.0108107,0.1816655,171
citeseer,0.0,5,0.0192645,0.7409686,0.3449987,0.0108107,0.1816655,171
citeseer,0.0,6,0.0191619,0.7409686,0.3449987,0.0108107,0.1816655,171
citeseer,0.0,7,0.0192511,0.7409686,0.3449987,0.0108107,0.1816655,171
citeseer,0.0,8,0.019228,0.7409686,0.3449987,0.0108107,0.1816655,171
citeseer,0.0,9,0.0193472,0.7409686,0.3449987,0.0108107,0.1816655,171
citeseer,0.1,0,0.0256166,0.7543596,0.3507015,0.0079551,0.1315816,227
citeseer,0.1,1,0.0218351,0.7538985,0.3460984,0.0076735,0.1253287,224
citeseer,0.1,2,0.021472,0.7483309,0.345116,0.0073907,0.1171683,230
citeseer,0.1,3,0.0243444,0.7517762,0.3432543,0.0073913,0.1238323,229
citeseer,0.1,4,0.0276639,0.7532804,0.3471319,0.0075272,0.1263488,234
citeseer,0.1,5,0.0278022,0.7516593,0.3497946,0.0075066,0.1241009,233
citeseer,0.1,6,0.0213211,0.749176,0.3449839,0.0073413,0.1200857,234
citeseer,0.1,7,0.0243001,0.7519098,0.3454993,0.0074579,0.1228657,233
citeseer,0.1,8,0.024256,0.7532386,0.3502286,0.0077882,0.132301,230
citeseer,0.1,9,0.0272148,0.7509806,0.3500206,0.0075209,0.1243206,234
citeseer,0.2,0,0.0220218,0.7871555,0.3456293,0.009442,0.1228554,192
citeseer,0.2,1,0.0253839,0.7848946,0.3460278,0.0084238,0.1154492,202
citeseer,0.2,2,0.0217049,0.7868721,0.3464996,0.0081707,0.1175556,197
citeseer,0.2,3,0.0213346,0.7818807,0.3358688,0.0083507,0.1057183,201
citeseer,0.2,4,0.0211909,0.7836208,0.3417574,0.0085517,0.1152234,199
citeseer,0.2,5,0.0212314,0.7825636,0.3425928,0.0087163,0.1165644,195
citeseer,0.2,6,0.02389,0.7800192,0.3420573,0.0084109,0.1157512,200
citeseer,0.2,7,0.021311,0.7835919,0.3465947,0.0084104,0.1168028,202
citeseer,0.2,8,0.0214372,0.7872045,0.3454824,0.0087284,0.1175964,196
citeseer,0.2,9,0.0267026,0.7847623,0.3399423,0.0086427,0.1107873,196
citeseer,0.3,0,0.0208962,0.8039149,0.3477766,0.012598,0.1241721,161
citeseer,0.3,1,0.0204496,0.8049952,0.3530348,0.0110643,0.1294424,161
citeseer,0.3,2,0.0219696,0.8020017,0.3464402,0.0121349,0.1214241,161
citeseer,0.3,3,0.019547,0.8043082,0.3453922,0.0115766,0.1206679,160
citeseer,0.3,4,0.0197077,0.8050339,0.3498294,0.010852,0.1254409,161
citeseer,0.3,5,0.0221345,0.8045335,0.3542621,0.0133112,0.1327673,161
citeseer,0.3,6,0.0228345,0.8057522,0.3523044,0.0110835,0.1298251,161
citeseer,0.3,7,0.0196776,0.8045522,0.3497032,0.0112345,0.1273753,161
citeseer,0.3,8,0.0218666,0.8042488,0.3525762,0.0112325,0.1285795,161
citeseer,0.3,9,0.0196533,0.8046802,0.3524522,0.0109805,0.129692,162
