Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI,Num_Communities10000,0,Leiden-LPA_Hybrid,0.2626805,0.8911892,0.9291068,0.3849262,0.701639,129
160000,4,Pure_Leiden,71.5588934,0.8991756,0.9359363,0.2324804,0.6478655,770
320000,0,Leiden-LPA_Hybrid,51.7403295,0.8991857,0.8977022,0.0971521,0.4144189,782
320000,0,Pure_Leiden,255.6852763,0.8995558,0.9268513,0.173814,0.5630329,1164
320000,1,Leiden-LPA_Hybrid,53.7814329,0.899167,0.8963841,0.0940338,0.4087961,768
320000,1,Pure_Leiden,256.7035158,0.8995584,0.926408,0.1719467,0.5608029,1156
320000,2,Leiden-LPA_Hybrid,53.5307319,0.8991734,0.8958401,0.0937244,0.4059622,764
320000,2,Pure_Leiden,254.2897184,0.8995562,0.9274252,0.1748926,0.5669718,1172
320000,3,Leiden-LPA_Hybrid,52.6214447,0.8991734,0.896471,0.0941704,0.4096789,768
320000,3,Pure_Leiden,256.723691,0.8995619,0.9266492,0.1728822,0.5616063,1161
320000,4,Leiden-LPA_Hybrid,53.1289644,0.8991749,0.8965048,0.0950235,0.4079777,772
320000,4,Pure_Leiden,256.6783926,0.8995642,0.9265794,0.1728425,0.5619201,1159
640000,0,Leiden-LPA_Hybrid,188.185179,0.8993406,0.8935573,0.0818348,0.3603081,1213
640000,0,Pure_Leiden,1046.6822169,0.899656,0.9197219,0.1333212,0.4913972,1705
640000,1,Leiden-LPA_Hybrid,188.985857,0.8993245,0.8916276,0.0790036,0.3517849,1183
640000,1,Pure_Leiden,1040.5764587,0.8996523,0.9201351,0.1346221,0.4937999,1716
640000,2,Leiden-LPA_Hybrid,187.5730515,0.8993368,0.8930237,0.0810481,0.3577027,1205
640000,2,Pure_Leiden,1114.338469,0.8996512,0.9212278,0.13708,0.5007567,1740
640000,3,Leiden-LPA_Hybrid,188.0320261,0.8993321,0.8927688,0.0814892,0.3558517,1205
640000,3,Pure_Leiden,1065.7354298,0.8996506,0.9209364,0.1374444,0.4975752,1739
640000,4,Leiden-LPA_Hybrid,187.2740808,0.8993318,0.8931579,0.0815551,0.3581425,1208
640000,4,Pure_Leiden,1026.3493009,0.8996502,0.9205154,0.1361067,0.4958114,1726
