Graph,Repeat,Algorithm,Time,Modularity,NMI,F1_Score,ARI
football,8,Leiden-LPA_Hybrid,0.0026009,0.5238697,0.7429773,0.3954806,0.4360042
football,8,Pure_Leiden,0.0007813,0.6045696,0.8903166,0.7659458,0.8069409
football,8,Louvain,0.004045,0.604346,0.8849617,0.7663487,0.8034681
football,8,Pure_LPA,0.0006347,0.5848194,0.8718159,0.7416573,0.7603171
football,9,Leiden-LPA_Hybrid,0.0024407,0.5238697,0.7429773,0.3954806,0.4360042
football,9,Pure_Leiden,0.0007722,0.6045696,0.8903166,0.7659458,0.8069409
football,9,Louvain,0.0037024,0.6045696,0.8903166,0.7659458,0.8069409
football,9,Pure_LPA,0.0006392,0.6000828,0.8518861,0.6756845,0.689447
mexican,0,Leiden-LPA_Hybrid,0.0013359,0.2763168,0.116708,0.72,0.0830125
mexican,0,Pure_Leiden,0.0003123,0.3595222,0.2601049,0.542351,0.2100614
mexican,0,Louvain,0.0010903,0.3486376,0.2746239,0.4645733,0.2436482
mexican,0,Pure_LPA,0.0002038,0.2064431,0.1791649,0.72,0.2592849
mexican,1,Leiden-LPA_Hybrid,0.001035,0.3479801,0.2318253,0.8097826,0.2303653
mexican,1,Pure_Leiden,0.0003066,0.3536051,0.2220654,0.8011364,0.1986178
mexican,1,Louvain,0.0011997,0.3510483,0.2593447,0.4437037,0.201211
mexican,1,Pure_LPA,0.000165,0.1551246,0.0831292,0.6260684,0.1336735
mexican,2,Leiden-LPA_Hybrid,0.0014603,0.2890277,0.2572425,0.788975,0.1503609
mexican,2,Pure_Leiden,0.0003159,0.3514135,0.2153116,0.5177866,0.1517059
mexican,2,Louvain,0.0011492,0.3510483,0.2593447,0.4437037,0.201211
mexican,2,Pure_LPA,0.000164,0.2064431,0.1791649,0.72,0.2592849
mexican,3,Leiden-LPA_Hybrid,0.0009902,0.2890277,0.2572425,0.788975,0.1503609
mexican,3,Pure_Leiden,0.0003009,0.3595222,0.2601049,0.542351,0.2100614
mexican,3,Louvain,0.0013549,0.3305209,0.3001773,0.7121711,0.2626367
mexican,3,Pure_LPA,0.0002673,0.2064431,0.1791649,0.72,0.2592849
mexican,4,Leiden-LPA_Hybrid,0.0011253,0.2890277,0.2572425,0.788975,0.1503609
mexican,4,Pure_Leiden,0.0005274,0.3422821,0.2342804,0.5108696,0.167968
mexican,4,Louvain,0.0013273,0.3279641,0.1794681,0.4599542,0.1766045
mexican,4,Pure_LPA,0.0002432,0.2064431,0.1791649,0.72,0.2592849
mexican,5,Leiden-LPA_Hybrid,0.0014627,0.3479801,0.2318253,0.8097826,0.2303653
mexican,5,Pure_Leiden,0.000299,0.3589378,0.2737745,0.8381129,0.2463875
mexican,5,Louvain,0.0012054,0.357075,0.274465,0.8381129,0.2553356
mexican,5,Pure_LPA,0.0002687,0.2064431,0.1791649,0.72,0.2592849
mexican,6,Leiden-LPA_Hybrid,0.0009894,0.2890277,0.2572425,0.788975,0.1503609
mexican,6,Pure_Leiden,0.0002911,0.3573307,0.2138085,0.5177866,0.1570387
mexican,6,Louvain,0.0017295,0.3595222,0.2601049,0.43127,0.2100614
mexican,6,Pure_LPA,0.0001616,0.2064431,0.1791649,0.72,0.2592849
mexican,7,Leiden-LPA_Hybrid,0.0012314,0.2890277,0.2572425,0.788975,0.1503609
mexican,7,Pure_Leiden,0.0003111,0.3536051,0.2220654,0.8011364,0.1986178
mexican,7,Louvain,0.0014522,0.3486376,0.2746239,0.4645733,0.2436482
mexican,7,Pure_LPA,0.0003407,0.2064431,0.1791649,0.72,0.2592849
mexican,8,Leiden-LPA_Hybrid,0.0015428,0.2890277,0.2572425,0.788975,0.1503609
mexican,8,Pure_Leiden,0.0003283,0.3595222,0.2601049,0.542351,0.2100614
mexican,8,Louvain,0.0011592,0.3181021,0.2061136,0.22,0.1206944
mexican,8,Pure_LPA,0.0001266,0.1551246,0.0831292,0.6260684,0.1336735
mexican,9,Leiden-LPA_Hybrid,0.0009911,0.2890277,0.2572425,0.788975,0.1503609
mexican,9,Pure_Leiden,0.0002778,0.3589378,0.2737745,0.8381129,0.2463875
mexican,9,Louvain,0.0012894,0.3510483,0.2593447,0.4437037,0.201211
mexican,9,Pure_LPA,0.0002666,0.2064431,0.1791649,0.72,0.2592849
polblogs,0,Leiden-LPA_Hybrid,0.0451159,0.4258625,0.6990017,0.632172,0.7995509
polblogs,0,Pure_Leiden,0.0143821,0.4268252,0.6349792,0.2067002,0.766791
polblogs,0,Louvain,0.1385248,0.427099,0.6415493,0.2070964,0.7723433
polblogs,0,Pure_LPA,0.0139496,0.4259809,0.700775,0.4733168,0.798036
polblogs,1,Leiden-LPA_Hybrid,0.0443981,0.4258625,0.6990017,0.632172,0.7995509
polblogs,1,Pure_Leiden,0.0135868,0.427114,0.6320054,0.1859338,0.7654496
polblogs,1,Louvain,0.1516283,0.4265381,0.6361217,0.3086356,0.75548
polblogs,1,Pure_LPA,0.0135474,0.4259809,0.700775,0.4733168,0.798036
polblogs,2,Leiden-LPA_Hybrid,0.0440719,0.4258625,0.6990017,0.632172,0.7995509
polblogs,2,Pure_Leiden,0.0140879,0.427114,0.6320054,0.1859338,0.7654496
polblogs,2,Louvain,0.1125774,0.4265725,0.6425847,0.1870588,0.7697986
polblogs,2,Pure_LPA,0.0143032,0.4259809,0.700775,0.4733168,0.798036
polblogs,3,Leiden-LPA_Hybrid,0.0443914,0.4258625,0.6990017,0.632172,0.7995509
polblogs,3,Pure_Leiden,0.0145605,0.4269748,0.6407191,0.1861739,0.7729947
polblogs,3,Louvain,0.0957713,0.4271071,0.6356385,0.1869307,0.7683151
polblogs,3,Pure_LPA,0.0137985,0.4259809,0.700775,0.4733168,0.798036
polblogs,4,Leiden-LPA_Hybrid,0.1080594,0.4258625,0.6990017,0.632172,0.7995509
polblogs,4,Pure_Leiden,0.0141702,0.427114,0.6320054,0.1859338,0.7654496
polblogs,4,Louvain,0.1040289,0.427099,0.6415493,0.2080217,0.7723433
polblogs,4,Pure_LPA,0.0137644,0.4257557,0.7104988,0.632172,0.8041257
polblogs,5,Leiden-LPA_Hybrid,0.0451674,0.4258625,0.6990017,0.632172,0.7995509
polblogs,5,Pure_Leiden,0.0143561,0.4268892,0.6546013,0.1871952,0.7840096
polblogs,5,Louvain,0.0963202,0.427099,0.6415493,0.2070964,0.7723433
polblogs,5,Pure_LPA,0.0138583,0.4259809,0.700775,0.4733168,0.798036
polblogs,6,Leiden-LPA_Hybrid,0.0443208,0.4258625,0.6990017,0.632172,0.7995509
polblogs,6,Pure_Leiden,0.0146918,0.427114,0.6320054,0.1859338,0.7654496
polblogs,6,Louvain,0.0979271,0.427099,0.6415493,0.2070964,0.7723433
polblogs,6,Pure_LPA,0.0141146,0.4259809,0.700775,0.4733168,0.798036
polblogs,7,Leiden-LPA_Hybrid,0.0447547,0.4258625,0.6990017,0.632172,0.7995509
polblogs,7,Pure_Leiden,0.0141931,0.42706,0.6550115,0.208125,0.7836155
polblogs,7,Louvain,0.1043277,0.4267429,0.6339443,0.2332576,0.7568193
